Name,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars,Url
JavaGuide,2018-05-07 13:27:00 +0000 UTC,2022-09-13 18:57:19 +0000 UTC,Java,0,715,66,756,No Releases,127237,https://github.com/Snailclimb/JavaGuide
java-design-patterns,2014-08-09 16:45:18 +0000 UTC,2022-09-13 18:59:56 +0000 UTC,Java,0,853,218,481,No Releases,76718,https://github.com/iluwatar/java-design-patterns
LeetCodeAnimation,2018-12-06 08:01:22 +0000 UTC,2022-09-13 18:43:27 +0000 UTC,Java,0,63,15,42,No Releases,71417,https://github.com/MisterBooo/LeetCodeAnimation
advanced-java,2018-10-06 11:38:30 +0000 UTC,2022-09-13 15:57:25 +0000 UTC,Java,1,74,1,133,2021-10-21T09:28:54Z,65389,https://github.com/doocs/advanced-java
spring-boot,2012-10-19 15:02:57 +0000 UTC,2022-09-13 17:51:57 +0000 UTC,Java,145,41,540,26116,2022-08-18T05:22:18Z,63149,https://github.com/spring-projects/spring-boot
elasticsearch,2010-02-08 13:20:56 +0000 UTC,2022-09-13 19:10:40 +0000 UTC,Java,96,50955,3430,27246,2022-08-30T15:30:35Z,61103,https://github.com/elastic/elasticsearch
mall,2018-04-04 01:11:44 +0000 UTC,2022-09-13 18:57:21 +0000 UTC,Java,2,0,25,414,2022-06-07T09:28:50Z,60980,https://github.com/macrozheng/mall
interviews,2017-02-14 18:19:25 +0000 UTC,2022-09-13 18:55:51 +0000 UTC,Java,0,42,30,19,No Releases,58176,https://github.com/kdn251/interviews
spring-framework,2010-12-08 04:04:45 +0000 UTC,2022-09-13 18:41:14 +0000 UTC,Java,234,720,1229,21239,2022-07-14T08:39:33Z,49104,https://github.com/spring-projects/spring-framework
GitHub-Chinese-Top-Charts,2019-09-05 03:01:56 +0000 UTC,2022-09-13 17:36:48 +0000 UTC,Java,0,0,88,147,No Releases,48051,https://github.com/GrowingGit/GitHub-Chinese-Top-Charts
Java,2016-07-16 10:21:02 +0000 UTC,2022-09-13 18:55:35 +0000 UTC,Java,0,836,9,675,No Releases,47692,https://github.com/TheAlgorithms/Java
RxJava,2013-01-08 20:11:48 +0000 UTC,2022-09-13 17:51:57 +0000 UTC,Java,229,3103,12,3085,2022-05-30T06:49:23Z,46429,https://github.com/ReactiveX/RxJava
guava,2014-05-29 16:23:17 +0000 UTC,2022-09-13 17:39:01 +0000 UTC,Java,35,363,656,2726,2022-02-28T21:06:35Z,45680,https://github.com/google/guava
retrofit,2010-09-06 21:39:43 +0000 UTC,2022-09-13 16:22:29 +0000 UTC,Java,0,764,140,2457,No Releases,40520,https://github.com/square/retrofit
dubbo,2012-06-19 07:56:02 +0000 UTC,2022-09-13 15:03:59 +0000 UTC,Java,54,3433,432,5012,2022-08-17T13:51:59Z,37841,https://github.com/apache/dubbo
MPAndroidChart,2014-04-25 14:29:47 +0000 UTC,2022-09-13 16:23:50 +0000 UTC,Java,44,190,1969,2861,2019-03-16T10:53:42Z,35556,https://github.com/PhilJay/MPAndroidChart
ghidra,2019-03-01 03:27:48 +0000 UTC,2022-09-13 14:05:19 +0000 UTC,Java,22,305,1190,2149,2022-07-26T19:12:21Z,34190,https://github.com/NationalSecurityAgency/ghidra
lottie-android,2016-10-06 22:42:42 +0000 UTC,2022-09-13 17:30:37 +0000 UTC,Java,43,552,33,1437,2022-05-31T00:33:21Z,33184,https://github.com/airbnb/lottie-android
glide,2013-07-08 22:52:33 +0000 UTC,2022-09-13 16:22:26 +0000 UTC,Java,39,407,365,3786,2022-05-04T20:39:28Z,32964,https://github.com/bumptech/glide
tutorials,2013-04-29 18:26:36 +0000 UTC,2022-09-13 17:53:52 +0000 UTC,Java,0,8733,25,594,No Releases,31919,https://github.com/eugenp/tutorials
jadx,2013-03-18 17:08:21 +0000 UTC,2022-09-13 17:58:24 +0000 UTC,Java,25,354,248,1001,2022-08-19T21:15:04Z,31562,https://github.com/skylot/jadx
