Repository,CBO,DIT,LCOM,Code Lines,Comment Lines
--,4,1,499,31746,2315
99-problems,1,1,1,7028,902
APIJSON,5,1,672,13814,3604
ARouter,3,1,17,6519,1658
ASimpleCache,4,1,38,2074,821
AVLoadingIndicatorView,3,1,6,2745,232
AarogyaSetu_Android,5,1,34,13056,636
ActionBar-PullToRefresh,5,1,9,4855,2467
ActionBarSherlock,6,1,63,34585,13374
ActiveAndroid,5,1,22,4220,1102
Activiti,5,1,92,272865,67811
ActivityRouter,3,1,9,1927,203
AdapterDelegates,4,1,4,5479,1588
Aegis,7,1,20,34449,732
AgentWeb,5,1,18,13289,2986
AlgoDS,1,1,1,28191,3128
Algorithms,2,1,16,35343,9156
Alink,6,1,40,964896,83813
AmazeFileManager,7,1,23,95509,22287
AndEngine,3,1,55,41702,19294
AndPermission,3,1,7,5585,2657
AndResGuard,3,1,22,8766,1398
AndServer,5,1,48,14702,8026
Android,4,1,2,30295,3162
Android-BluetoothKit,4,1,18,10187,794
Android-Bootstrap,6,1,31,17612,997
Android-CleanArchitecture,5,1,6,3590,1771
Android-ConvenientBanner,4,1,7,1789,301
Android-Debug-Database,4,1,8,5201,1399
Android-IMSI-Catcher-Detector,5,1,4,25400,3237
Android-Image-Cropper,7,1,70,6741,2124
Android-Material-Examples,4,1,4,1999,224
Android-ObservableScrollView,5,1,7,19059,4263
Android-PickerView,3,1,15,11140,1116
Android-PullToRefresh,6,2,55,4576,1674
Android-Skin-Loader,4,1,10,9055,1261
Android-SpinKit,4,3,21,2875,366
Android-Tips,1,1,0,1014,20
Android-Universal-Image-Loader,4,1,28,8299,5310
Android-Week-View,3,1,238,2608,638
Android-ZBLibrary,5,1,26,20280,7733
Android-skin-support,6,1,17,29383,2505
AndroidAsync,3,1,19,17565,3174
AndroidAutoLayout,5,2,8,4670,337
AndroidAutoSize,5,1,31,3543,2124
AndroidChromium,5,1,66,160304,57634
AndroidHttpCapture,4,1,36,44048,5273
AndroidImageSlider,4,1,59,4779,1057
AndroidNote,4,1,8,8878,104
AndroidPdfViewer,4,1,76,4123,1082
AndroidPerformanceMonitor,4,1,14,3533,732
AndroidPicker,5,1,52,72216,6429
AndroidProject,7,2,19,45891,5010
AndroidResideMenu,5,1,44,1526,366
AndroidSlidingUpPanel,4,1,132,2799,980
AndroidStaggeredGrid,5,1,155,4196,896
AndroidSwipeLayout,3,1,58,3771,318
AndroidTVLauncher,5,1,15,1726,168
AndroidTreeView,5,1,49,3588,455
AndroidTutorialForBeginners,4,1,2,10320,1131
AndroidUtilCode,4,1,145,55186,19023
AndroidVideoCache,4,1,14,4413,435
