Repository,CBO,DIT,LCOM,Code Lines,Comment Lines,CreatedAt,UpdatedAt,PrimaryLanguage,Releases,PullRequests,Open Issues,Closed Issues,LastRelease,Stars
JavaGuide,0,0,0,38194,67,2018-05-07 13:27:00 +0000 UTC,2022-09-13 18:57:19 +0000 UTC,Java,0,715,66,756,No Releases,127237
java-design-patterns,3,1,2,90900,54233,2014-08-09 16:45:18 +0000 UTC,2022-09-13 18:59:56 +0000 UTC,Java,0,853,218,481,No Releases,76718
LeetCodeAnimation,1,1,0,12887,19,2018-12-06 08:01:22 +0000 UTC,2022-09-13 18:43:27 +0000 UTC,Java,0,63,15,42,No Releases,71417
advanced-java,0,0,0,71356,8,2018-10-06 11:38:30 +0000 UTC,2022-09-13 15:57:25 +0000 UTC,Java,1,74,1,133,No Releases,65389
spring-boot,5,1,11,435497,177478,2012-10-19 15:02:57 +0000 UTC,2022-09-13 17:51:57 +0000 UTC,Java,145,41,540,26116,No Releases,63149
elasticsearch,7,1,39,2862261,338208,2010-02-08 13:20:56 +0000 UTC,2022-09-13 19:10:40 +0000 UTC,Java,96,50955,3430,27246,No Releases,61103
mall,3,1,1119,131896,3517,2018-04-04 01:11:44 +0000 UTC,2022-09-13 18:57:21 +0000 UTC,Java,2,0,25,414,No Releases,60980
interviews,1,1,0,8626,4446,2017-02-14 18:19:25 +0000 UTC,2022-09-13 18:55:51 +0000 UTC,Java,0,42,30,19,No Releases,58176
spring-framework,5,1,31,817531,377596,2010-12-08 04:04:45 +0000 UTC,2022-09-13 18:41:14 +0000 UTC,Java,234,720,1229,21239,No Releases,49104
GitHub-Chinese-Top-Charts,0,1,0,18452,1,2019-09-05 03:01:56 +0000 UTC,2022-09-13 17:36:48 +0000 UTC,Java,0,0,88,147,No Releases,48051
Java,1,1,4,14521,5100,2016-07-16 10:21:02 +0000 UTC,2022-09-13 18:55:35 +0000 UTC,Java,0,836,9,675,No Releases,47692
RxJava,2,1,46,323674,80409,2013-01-08 20:11:48 +0000 UTC,2022-09-13 17:51:57 +0000 UTC,Java,229,3103,12,3085,No Releases,46429
guava,3,1,47,489688,130085,2014-05-29 16:23:17 +0000 UTC,2022-09-13 17:39:01 +0000 UTC,Java,35,363,656,2726,No Releases,45680
retrofit,4,1,16,30272,5962,2010-09-06 21:39:43 +0000 UTC,2022-09-13 16:22:29 +0000 UTC,Java,0,764,140,2457,No Releases,40520
dubbo,5,1,42,229676,85681,2012-06-19 07:56:02 +0000 UTC,2022-09-13 15:03:59 +0000 UTC,Java,54,3433,432,5012,No Releases,37841
MPAndroidChart,8,1,91,42636,9088,2014-04-25 14:29:47 +0000 UTC,2022-09-13 16:23:50 +0000 UTC,Java,44,190,1969,2861,No Releases,35556
lottie-android,6,1,27,60642,3736,2016-10-06 22:42:42 +0000 UTC,2022-09-13 17:30:37 +0000 UTC,Java,43,552,33,1437,No Releases,33184
glide,5,1,19,85733,14401,2013-07-08 22:52:33 +0000 UTC,2022-09-13 16:22:26 +0000 UTC,Java,39,407,365,3786,No Releases,32964
